country,ISO,year,region,comp_region,obi,oversight_obi,pub_eng,comp1215,comp1517,comp1719,comp1921,comp2123,comp2325
Albania,ALB,2025,Eastern Europe & Central Asia,Western Balkans & Turkiye,64.2293578,68.55555556,16.61111111,1.0,1,1,1,1,1
Albania,ALB,2023,Eastern Europe & Central Asia,Western Balkans & Turkiye,57.47706422,66.66666667,9.166666667,1.0,1,1,1,1,1
Albania,ALB,2021,Eastern Europe & Central Asia,Western Balkans & Turkiye,51.65137615,66.66666667,5.5,1.0,1,1,1,1,1
Albania,ALB,2019,Eastern Europe & Central Asia,Western Balkans & Turkiye,54.71559633,64.77777778,7.333333333,1.0,1,1,1,1,1
Albania,ALB,2017,Eastern Europe & Central Asia,Western Balkans & Turkiye,49.65740741,68.5,1.833333333,1.0,1,1,1,1,1
Albania,ALB,2015,Eastern Europe & Central Asia,Western Balkans & Turkiye,38.22019958,,14.5625,1.0,1,1,1,1,1
Albania,ALB,2012,Eastern Europe & Central Asia,Western Balkans & Turkiye,46.69469833,,11.08329964,1.0,1,1,1,1,1
Albania,ALB,2010,Eastern Europe & Central Asia,Western Balkans & Turkiye,32.9673996,,,1.0,1,1,1,1,1
Albania,ALB,2008,Eastern Europe & Central Asia,Western Balkans & Turkiye,37.32970047,,,1.0,1,1,1,1,1
Albania,ALB,2006,Eastern Europe & Central Asia,Western Balkans & Turkiye,24.89010048,,,1.0,1,1,1,1,1
Algeria,DZA,2025,Middle East & North Africa,North Africa,22.32110092,25.94444444,0.0,1.0,1,1,1,1,1
Algeria,DZA,2023,Middle East & North Africa,North Africa,14.67889908,27.77777778,0.0,1.0,1,1,1,1,1
Algeria,DZA,2021,Middle East & North Africa,North Africa,3.366972477,31.5,0.0,1.0,1,1,1,1,1
Algeria,DZA,2019,Middle East & North Africa,North Africa,2.146788991,35.16666667,0.0,1.0,1,1,1,1,1
Algeria,DZA,2017,Middle East & North Africa,North Africa,3.064220183,31.44444444,0.0,1.0,1,1,1,1,1
Algeria,DZA,2015,Middle East & North Africa,North Africa,18.9633007,,0.0,1.0,1,1,1,1,1
Algeria,DZA,2012,Middle East & North Africa,North Africa,13.32629967,,13.83329964,1.0,1,1,1,1,1
Algeria,DZA,2010,Middle East & North Africa,North Africa,0.728260994,,,1.0,1,1,1,1,1
Algeria,DZA,2008,Middle East & North Africa,North Africa,1.815219998,,,1.0,1,1,1,1,1
Algeria,DZA,2006,Middle East & North Africa,North Africa,28.19569969,,,1.0,1,1,1,1,1
Argentina,ARG,2025,Latin America & Caribbean,South America,46.14678899,44.33333333,18.5,1.0,1,1,1,1,1
Argentina,ARG,2023,Latin America & Caribbean,South America,51.04587156,59.22222222,16.61111111,1.0,1,1,1,1,1
Argentina,ARG,2021,Latin America & Caribbean,South America,50.14678899,53.66666667,14.77777778,1.0,1,1,1,1,1
Argentina,ARG,2019,Latin America & Caribbean,South America,57.78899083,53.66666667,14.77777778,1.0,1,1,1,1,1
Argentina,ARG,2017,Latin America & Caribbean,South America,49.82568807,55.5,12.94444444,1.0,1,1,1,1,1
Argentina,ARG,2015,Latin America & Caribbean,South America,59.24069977,,27.125,1.0,1,1,1,1,1
Argentina,ARG,2012,Latin America & Caribbean,South America,50.02130127,,30.5,1.0,1,1,1,1,1
Argentina,ARG,2010,Latin America & Caribbean,South America,56.38460159,,,1.0,1,1,1,1,1
Argentina,ARG,2008,Latin America & Caribbean,South America,56.02199936,,,1.0,1,1,1,1,1
Argentina,ARG,2006,Latin America & Caribbean,South America,39.8260994,,,1.0,1,1,1,1,1
Bolivia,BOL,2025,Latin America & Caribbean,South America,11.00943396,38.88888889,12.94444444,1.0,1,1,1,1,1
Bolivia,BOL,2023,Latin America & Caribbean,South America,10.71559633,40.72222222,14.77777778,1.0,1,1,1,1,1
Bolivia,BOL,2021,Latin America & Caribbean,South America,20.46226415,48.16666667,20.33333333,1.0,1,1,1,1,1
Bolivia,BOL,2019,Latin America & Caribbean,South America,12.34259259,44.38888889,14.77777778,1.0,1,1,1,1,1
Bolivia,BOL,2017,Latin America & Caribbean,South America,10.19444444,48.11111111,12.94444444,1.0,1,1,1,1,1
Bolivia,BOL,2015,Latin America & Caribbean,South America,16.8348999,,0.0,1.0,1,1,1,1,1
Bolivia,BOL,2012,Latin America & Caribbean,South America,11.9368,,2.75,1.0,1,1,1,1,1
Bolivia,BOL,2010,Latin America & Caribbean,South America,13.41300011,,,1.0,1,1,1,1,1
Bolivia,BOL,2008,Latin America & Caribbean,South America,6.52173996,,,1.0,1,1,1,1,1
Bolivia,BOL,2006,Latin America & Caribbean,South America,20.6413002,,,1.0,1,1,1,1,1
Bosnia and Herzegovina,BIH,2025,Eastern Europe & Central Asia,Western Balkans & Turkiye,29.75728155,48.11111111,7.388888889,1.0,1,1,1,1,1
Bosnia and Herzegovina,BIH,2023,Eastern Europe & Central Asia,Western Balkans & Turkiye,27.49514563,51.83333333,7.388888889,1.0,1,1,1,1,1
Bosnia and Herzegovina,BIH,2021,Eastern Europe & Central Asia,Western Balkans & Turkiye,32.34951456,57.38888889,9.222222222,1.0,1,1,1,1,1
Bosnia and Herzegovina,BIH,2019,Eastern Europe & Central Asia,Western Balkans & Turkiye,33.33009709,51.77777778,7.388888889,1.0,1,1,1,1,1
Bosnia and Herzegovina,BIH,2017,Eastern Europe & Central Asia,Western Balkans & Turkiye,34.61165049,64.77777778,9.222222222,1.0,1,1,1,1,1
Bosnia and Herzegovina,BIH,2015,Eastern Europe & Central Asia,Western Balkans & Turkiye,43.25,,22.875,1.0,1,1,1,1,1
Bosnia and Herzegovina,BIH,2012,Eastern Europe & Central Asia,Western Balkans & Turkiye,49.82020187,,19.41670036,1.0,1,1,1,1,1
Bosnia and Herzegovina,BIH,2010,Eastern Europe & Central Asia,Western Balkans & Turkiye,44.32939911,,,1.0,1,1,1,1,1
Bosnia and Herzegovina,BIH,2008,Eastern Europe & Central Asia,Western Balkans & Turkiye,44.20930099,,,1.0,1,1,1,1,1
Brazil,BRA,2025,Latin America & Caribbean,South America,82.88073394,75.88888889,55.44444444,1.0,1,1,1,1,1
Brazil,BRA,2023,Latin America & Caribbean,South America,80.13761468,83.33333333,16.61111111,1.0,1,1,1,1,1
Brazil,BRA,2021,Latin America & Caribbean,South America,79.51376147,77.72222222,14.77777778,1.0,1,1,1,1,1
Brazil,BRA,2019,Latin America & Caribbean,South America,81.04587156,77.77777778,16.61111111,1.0,1,1,1,1,1
Brazil,BRA,2017,Latin America & Caribbean,South America,77.37614679,75.94444444,35.16666667,1.0,1,1,1,1,1
Brazil,BRA,2015,Latin America & Caribbean,South America,77.0734024,,70.9375,1.0,1,1,1,1,1
Brazil,BRA,2012,Latin America & Caribbean,South America,73.02100372,,36.08330154,1.0,1,1,1,1,1
Brazil,BRA,2010,Latin America & Caribbean,South America,71.39129639,,,1.0,1,1,1,1,1
Brazil,BRA,2008,Latin America & Caribbean,South America,74.19100189,,,1.0,1,1,1,1,1
Brazil,BRA,2006,Latin America & Caribbean,South America,73.93479919,,,1.0,1,1,1,1,1
Chile,CHL,2025,Latin America & Caribbean,South America,64.18518519,57.33333333,16.55555556,1.0,1,1,1,1,1
Chile,CHL,2023,Latin America & Caribbean,South America,60.18518519,55.5,11.05555556,1.0,1,1,1,1,1
Chile,CHL,2021,Latin America & Caribbean,South America,59.5462963,57.33333333,24.0,1.0,1,1,1,1,1
Chile,CHL,2019,Latin America & Caribbean,South America,54.94444444,55.5,9.222222222,1.0,1,1,1,1,1
Chile,CHL,2017,Latin America & Caribbean,South America,56.80555556,55.5,11.11111111,1.0,1,1,1,1,1
Chile,CHL,2015,Latin America & Caribbean,South America,58.01850128,,22.9375,1.0,1,1,1,1,1
Chile,CHL,2012,Latin America & Caribbean,South America,66.32980347,,11.08329964,1.0,1,1,1,1,1
Chile,CHL,2010,Latin America & Caribbean,South America,72.13040161,,,1.0,1,1,1,1,1
Croatia,HRV,2025,Eastern Europe & Central Asia,Central & Eastern Europe,62.04587156,61.16666667,16.61111111,1.0,1,1,1,1,1
Croatia,HRV,2023,Eastern Europe & Central Asia,Central & Eastern Europe,66.63302752,63.0,16.61111111,1.0,1,1,1,1,1
Croatia,HRV,2021,Eastern Europe & Central Asia,Central & Eastern Europe,64.18348624,64.88888889,16.61111111,1.0,1,1,1,1,1
Croatia,HRV,2019,Eastern Europe & Central Asia,Central & Eastern Europe,68.4587156,61.16666667,22.11111111,1.0,1,1,1,1,1
Croatia,HRV,2017,Eastern Europe & Central Asia,Central & Eastern Europe,57.1559633,59.33333333,25.77777778,1.0,1,1,1,1,1
Croatia,HRV,2015,Eastern Europe & Central Asia,Central & Eastern Europe,52.88990021,,37.625,1.0,1,1,1,1,1
Croatia,HRV,2012,Eastern Europe & Central Asia,Central & Eastern Europe,61.37889862,,36.16669846,1.0,1,1,1,1,1
Croatia,HRV,2010,Eastern Europe & Central Asia,Central & Eastern Europe,56.80220032,,,1.0,1,1,1,1,1
Croatia,HRV,2008,Eastern Europe & Central Asia,Central & Eastern Europe,59.35169983,,,1.0,1,1,1,1,1
Croatia,HRV,2006,Eastern Europe & Central Asia,Central & Eastern Europe,42.40219879,,,1.0,1,1,1,1,1
Dominican Republic,DOM,2025,Latin America & Caribbean,Caribbean,81.94495413,55.5,50.05555556,1.0,1,1,1,1,1
Dominican Republic,DOM,2023,Latin America & Caribbean,Caribbean,77.06422018,53.66666667,48.22222222,1.0,1,1,1,1,1
Dominican Republic,DOM,2021,Latin America & Caribbean,Caribbean,76.75229358,62.88888889,22.16666667,1.0,1,1,1,1,1
Dominican Republic,DOM,2019,Latin America & Caribbean,Caribbean,75.22018349,57.33333333,31.33333333,1.0,1,1,1,1,1
Dominican Republic,DOM,2017,Latin America & Caribbean,Caribbean,66.34862385,57.33333333,16.61111111,1.0,1,1,1,1,1
Dominican Republic,DOM,2015,Latin America & Caribbean,Caribbean,50.76150131,,22.9375,1.0,1,1,1,1,1
Dominican Republic,DOM,2012,Latin America & Caribbean,Caribbean,29.08419991,,25.08329964,1.0,1,1,1,1,1
Dominican Republic,DOM,2010,Latin America & Caribbean,Caribbean,14.31869984,,,1.0,1,1,1,1,1
Dominican Republic,DOM,2008,Latin America & Caribbean,Caribbean,11.70330048,,,1.0,1,1,1,1,1
Egypt,EGY,2025,Middle East & North Africa,Middle East,59.01834862,59.22222222,35.11111111,1.0,1,1,1,1,1
Egypt,EGY,2023,Middle East & North Africa,Middle East,49.20183486,53.66666667,35.16666667,1.0,1,1,1,1,1
Egypt,EGY,2021,Middle East & North Africa,Middle East,43.09174312,44.44444444,18.5,1.0,1,1,1,1,1
Egypt,EGY,2019,Middle East & North Africa,Middle East,43.11009174,49.94444444,14.77777778,1.0,1,1,1,1,1
Egypt,EGY,2017,Middle East & North Africa,Middle East,41.28440367,38.83333333,11.05555556,1.0,1,1,1,1,1
Egypt,EGY,2015,Middle East & North Africa,Middle East,16.22019958,,8.3125,1.0,1,1,1,1,1
Egypt,EGY,2012,Middle East & North Africa,Middle East,13.33679962,,8.25,1.0,1,1,1,1,1
Egypt,EGY,2010,Middle East & North Africa,Middle East,48.5870018,,,1.0,1,1,1,1,1
Egypt,EGY,2008,Middle East & North Africa,Middle East,43.4457016,,,1.0,1,1,1,1,1
Egypt,EGY,2006,Middle East & North Africa,Middle East,18.5109005,,,1.0,1,1,1,1,1
El Salvador,SLV,2025,Latin America & Caribbean,Central America,33.64220183,59.27777778,7.388888889,1.0,1,1,1,1,1
El Salvador,SLV,2023,Latin America & Caribbean,Central America,23.53211009,61.11111111,12.94444444,1.0,1,1,1,1,1
El Salvador,SLV,2021,Latin America & Caribbean,Central America,41.29357798,61.11111111,20.33333333,1.0,1,1,1,1,1
El Salvador,SLV,2019,Latin America & Caribbean,Central America,45.56880734,61.11111111,12.94444444,1.0,1,1,1,1,1
El Salvador,SLV,2017,Latin America & Caribbean,Central America,44.63302752,64.77777778,5.555555556,1.0,1,1,1,1,1
El Salvador,SLV,2015,Latin America & Caribbean,Central America,52.8716011,,16.625,1.0,1,1,1,1,1
El Salvador,SLV,2012,Latin America & Caribbean,Central America,43.49470139,,13.83329964,1.0,1,1,1,1,1
El Salvador,SLV,2010,Latin America & Caribbean,Central America,36.98899841,,,1.0,1,1,1,1,1
El Salvador,SLV,2008,Latin America & Caribbean,Central America,37.37360001,,,1.0,1,1,1,1,1
El Salvador,SLV,2006,Latin America & Caribbean,Central America,27.8696003,,,1.0,1,1,1,1,1
Guatemala,GTM,2025,Latin America & Caribbean,Central America,71.01851852,55.55555556,40.72222222,1.0,1,1,1,1,1
Guatemala,GTM,2023,Latin America & Caribbean,Central America,63.53703704,55.55555556,18.5,1.0,1,1,1,1,1
Guatemala,GTM,2021,Latin America & Caribbean,Central America,64.16666667,46.27777778,18.5,1.0,1,1,1,1,1
Guatemala,GTM,2019,Latin America & Caribbean,Central America,64.7962963,55.55555556,35.16666667,1.0,1,1,1,1,1
Guatemala,GTM,2017,Latin America & Caribbean,Central America,61.13888889,57.38888889,29.61111111,1.0,1,1,1,1,1
Guatemala,GTM,2015,Latin America & Caribbean,Central America,46.15599823,,10.375,1.0,1,1,1,1,1
Guatemala,GTM,2012,Latin America & Caribbean,Central America,50.51580048,,2.75,1.0,1,1,1,1,1
Guatemala,GTM,2010,Latin America & Caribbean,Central America,50.0,,,1.0,1,1,1,1,1
Guatemala,GTM,2008,Latin America & Caribbean,Central America,46.0,,,1.0,1,1,1,1,1
Guatemala,GTM,2006,Latin America & Caribbean,Central America,46.31520081,,,1.0,1,1,1,1,1
Honduras,HND,2025,Latin America & Caribbean,Central America,62.0733945,49.88888889,16.66666667,1.0,1,1,1,1,1
Honduras,HND,2023,Latin America & Caribbean,Central America,65.44036697,49.94444444,12.94444444,1.0,1,1,1,1,1
Honduras,HND,2021,Latin America & Caribbean,Central America,61.49541284,48.11111111,16.66666667,1.0,1,1,1,1,1
Honduras,HND,2019,Latin America & Caribbean,Central America,58.74311927,46.22222222,16.61111111,1.0,1,1,1,1,1
Honduras,HND,2017,Latin America & Caribbean,Central America,53.80733945,48.11111111,7.388888889,1.0,1,1,1,1,1
Honduras,HND,2015,Latin America & Caribbean,Central America,42.77980042,,31.25,1.0,1,1,1,1,1
Honduras,HND,2012,Latin America & Caribbean,Central America,53.32630157,,22.16670036,1.0,1,1,1,1,1
Honduras,HND,2010,Latin America & Caribbean,Central America,10.8696003,,,1.0,1,1,1,1,1
Honduras,HND,2008,Latin America & Caribbean,Central America,11.59780025,,,1.0,1,1,1,1,1
Honduras,HND,2006,Latin America & Caribbean,Central America,38.0542984,,,1.0,1,1,1,1,1
Hungary,HUN,2025,Eastern Europe & Central Asia,Central & Eastern Europe,43.08256881,50.0,7.388888889,0.0,1,1,1,1,1
Hungary,HUN,2023,Eastern Europe & Central Asia,Central & Eastern Europe,22.00917431,33.27777778,5.555555556,0.0,1,1,1,1,1
